Age,Estimated_Income,Superannuation_Savings,Amount_of_Credit_Cards,Credit_Card_Balance,Bank_Loans,Bank_Deposits,Checking_Accounts,Saving_Accounts,Foreign_Currency_Account,Business_Lending,Properties_Owned,Nationality_encoded,Occupation_encoded,Loyalty_Classification_encoded
53,191335.58,29976.54,2,9082.29,1461141.4,909407.95,270364.53,330336.29,53967.22,2371715.33,3,3,153,1
34,106018.18,30085.36,2,6850.31,1009636.94,876584.28,424153.68,274757.33,20295.76,1372289.66,1,1,154,1
75,112683.73,5161.2,2,5247.15,832861.83,1070053.58,716470.66,173348.68,26418.79,1165504.97,1,2,101,1
28,268503.7,33435.36,2,1048.59,249597.43,224557.82,193584.33,98728.01,7123.0,413902.99,0,4,80,0
69,26994.24,16050.3,1,1862.79,299906.15,160834.72,165496.6,75032.89,15247.41,167690.91,0,1,136,1
69,139304.56,15802.16,1,531.95,234198.36,184050.28,112981.36,63014.44,31654.17,1097467.13,3,2,113,1
41,72648.85,14258.76,2,2958.04,241493.51,291092.44,178023.47,37529.27,32627.32,389464.45,1,2,58,1
71,75223.75,12139.25,1,1583.01,74172.93,175234.71,134426.62,86609.15,16659.33,234495.16,1,3,33,1
79,118429.36,4185.6,1,3527.33,656915.42,1515691.24,595823.45,359584.68,13001.98,992731.94,0,4,32,2
27,238997.45,16324.48,3,2143.08,648279.98,173259.15,158193.14,102197.79,52376.71,1457145.31,2,4,162,1
57,73938.15,3637.2,1,329.4,104627.48,70248.6,34655.98,54878.21,17682.75,424743.75,1,3,121,1
25,41697.2,19048.16,3,4324.19,135573.47,1188019.35,282047.76,458113.94,30149.8,751123.18,1,4,54,0
47,283418.58,30792.3,3,3031.8,123176.18,259129.27,110561.82,192653.98,33826.89,282955.29,0,2,148,0
83,461480.83,9069.36,1,12607.68,2015852.94,2769328.8,1379657.16,466170.35,117791.28,1768358.22,2,1,177,3
47,61730.31,5697.75,1,88.94,76568.42,322752.23,96406.51,86011.37,14609.6,469157.54,2,0,17,1
81,61720.63,6251.31,2,3899.15,218864.95,606812.23,280702.25,118885.66,17230.62,612629.04,1,2,153,2
32,79425.62,9808.56,1,614.92,487050.58,580085.14,199599.19,496253.48,32646.39,510896.6,2,2,67,1
35,51431.35,24151.17,3,3418.04,587904.04,788559.56,314191.7,265646.0,28252.95,208792.19,1,1,154,1
47,62701.19,25906.7,3,3281.8,960388.88,324926.87,259941.5,40940.79,18050.51,683254.29,2,4,3,0
61,308171.08,12327.54,2,2943.1,1486877.41,1486770.8,582653.42,438798.3,21152.12,1676630.67,3,4,73,1
41,152813.06,11142.75,1,4128.7,152412.5,542700.3,304804.28,364055.25,25102.33,717216.24,0,4,132,3
81,38161.97,5367.59,2,1877.38,807581.64,859187.79,269406.34,298167.29,17677.5,510650.42,0,4,155,1
51,111666.93,10063.04,1,232.45,178379.26,141104.54,58205.62,145355.31,21976.83,371360.77,3,4,17,3
38,140115.83,42267.12,1,6843.4,120706.43,511243.39,252167.35,114718.87,74845.61,2123424.55,1,0,86,1
65,86378.66,14626.08,1,2332.03,186543.72,410491.12,391173.89,55971.67,17070.82,0.0,2,0,171,2
71,374660.44,62933.94,3,567.01,592185.88,315905.16,201525.71,401471.88,38412.61,625771.84,2,2,39,1
47,124127.1,33807.84,2,3862.21,130343.82,197265.75,77190.95,85081.58,19753.62,1067528.95,2,4,192,0
25,57039.78,50417.61,1,8330.8,391088.54,1529895.32,798206.25,220393.62,56514.97,1285695.67,2,0,119,1
63,174094.66,23217.14,1,4948.11,1014281.04,2263283.54,1171209.66,283939.21,61321.69,1027001.98,2,0,180,3
69,66543.57,4081.02,1,1225.84,333472.48,126886.33,175526.09,22289.7,16574.18,522315.28,1,4,33,0
76,234323.74,51258.31,1,5762.91,1467976.67,650421.08,207866.53,518191.15,3080.31,908973.2,3,4,13,3
31,92005.32,32561.76,1,1654.39,637776.81,321318.75,357020.84,105321.15,20584.97,578961.56,0,1,69,3
71,131274.45,19188.4,1,4158.72,332987.38,635381.9,201611.56,331559.38,71732.15,1813895.54,2,4,62,0
48,160941.08,15836.61,3,2376.69,283464.14,1599208.31,611079.6,351435.78,923.5,1062681.0,0,3,193,1
55,43011.56,19921.5,2,848.54,165875.8,12790.94,5513.34,19682.61,10782.78,254816.77,2,0,18,3
32,242779.9,13511.57,1,3344.54,610132.67,972181.04,672252.85,206329.91,1940.57,361619.85,0,2,150,1
60,327746.23,26743.5,3,6001.72,981805.9,816157.07,221330.73,343339.3,70846.85,745503.82,2,4,86,1
53,465670.73,38016.24,2,3319.87,1139666.4,740926.49,292711.7,690433.72,69643.41,1034359.96,2,2,14,3
52,333378.6,22836.44,1,1480.18,649485.67,1061350.99,221432.94,368647.67,27563.92,2394431.68,1,4,21,1
42,323798.43,23457.96,2,8684.77,878558.8,812470.79,281239.89,179681.04,43245.63,1967172.98,1,4,99,1
60,92607.75,19835.0,1,999.9,102478.95,229116.2,140015.45,60715.79,3956.85,312132.6,2,4,177,0
53,135796.5,16855.0,1,3018.55,517134.19,43408.44,46381.62,15960.03,22091.26,559782.25,0,4,61,0
44,268884.36,12529.68,2,3547.47,231498.18,446067.71,388879.54,157381.84,15193.64,754235.32,2,2,21,3
19,169503.63,12138.51,1,1358.24,1115260.68,686288.95,242219.63,334493.77,22528.13,97121.6,2,4,115,0
26,235589.53,21968.1,2,695.63,665289.15,110588.52,55294.26,127074.4,25602.89,503879.33,1,1,54,0
66,156213.39,20226.48,1,2675.34,1646375.26,1628718.42,1025964.36,138505.19,82576.78,1658464.35,0,2,131,3
66,170920.42,5516.55,3,2695.5,333446.4,752092.2,255711.35,526163.7,13552.65,274001.4,1,3,132,0
65,83318.53,12440.52,3,1644.11,83782.98,131201.58,64951.28,79890.07,21339.59,80882.27,3,2,58,3
67,46553.21,6493.54,3,1323.02,818243.62,292712.12,171968.37,217192.39,26938.93,531592.36,1,4,27,1
72,110249.42,60196.5,2,4023.33,363434.5,1217834.19,307303.96,839167.43,81030.34,2106606.77,1,2,22,0
41,146174.05,18695.16,1,2513.28,825633.42,1026061.16,233881.59,286316.33,3200.84,1373757.65,0,0,15,3
52,484691.0,11373.06,2,7984.1,1236981.31,1407701.3,722873.64,223710.37,97886.22,3487314.08,1,0,76,0
70,52308.75,6106.25,2,2216.15,187186.01,639661.31,218420.93,337824.38,5606.34,595957.14,0,3,29,3
37,189742.77,23607.71,1,530.12,193600.01,296574.4,124147.42,128009.79,25188.34,835097.65,2,2,25,1
49,392641.08,53905.85,1,9447.62,1927924.97,3000645.92,854488.57,1037916.7949999999,22579.03,1910822.86,0,4,124,0
28,70495.44,11339.19,1,1975.41,216251.88,342290.02,307283.09,86583.82,16865.32,176758.72,2,4,136,3
28,132987.89,15488.38,1,2065.57,632022.22,242511.71,189791.78,79712.55,32823.48,944514.24,3,4,111,1
30,277766.36,18008.42,1,7988.18,851536.08,2632942.22,469569.31,712403.73,80786.78,426974.26,1,3,61,0
70,224007.73,36622.72,2,58.87,1025677.09,868454.29,441119.64,305199.65,23358.99,159143.04,0,4,47,0
36,85695.95,21318.64,2,2099.16,167155.88,361203.04,240802.03,174982.81,21268.04,222571.19,2,4,174,0
30,114169.51,13531.05,1,3168.59,765830.21,370769.94,101119.08,287852.3,20300.28,756124.94,2,4,125,1
28,55235.7,12207.3,1,655.78,347648.93,320943.11,248001.49,60687.42,7385.66,106479.91,1,1,76,0
69,63676.05,24191.09,1,9553.04,920096.1,1388245.06,293291.21,437981.54,39903.63,2453030.87,1,1,144,1
31,255576.67,25252.5,3,5523.65,174909.07,456995.64,422720.96,148523.58,11069.76,169578.24,1,2,120,3
78,335346.96,11722.05,1,3055.77,543866.64,311496.34,269963.49,306512.39,31149.36,701015.64,1,4,132,3
23,184915.93,27065.2,1,2620.92,529717.71,541630.84,594289.39,154816.15,14453.67,872754.89,1,2,190,3
38,342649.03,54620.02,1,1371.63,2012623.19,2603230.63,886206.17,547232.31,56366.58,1928415.9,0,1,7,1
61,309939.21,51303.6,2,10999.17,1198037.84,1457194.61,691706.3,145258.32,44952.26,3615964.8875,3,3,187,0
37,31650.84,8774.4,1,737.12,124665.38,133076.74,85855.96,90148.76,6191.75,124858.45,3,3,30,3
26,198366.99,16319.02,3,1613.17,443007.06,228238.26,251849.11,72249.21,750.13,804133.2,2,1,172,1
85,150196.43,66077.96,2,3824.44,891587.91,578676.44,404280.8,248593.06,23281.71,409773.2,0,4,85,3
78,175520.13,21559.34,2,1084.46,810378.27,158765.07,75673.07,62526.73,42833.01,620997.43,2,4,98,2
45,399976.55,42415.8,1,108.19,185635.83,215573.82,115485.98,272161.95,37605.19,240555.03,2,3,27,1
49,129586.91,3422.4,1,3438.3,0.0,188879.38,90273.23,51039.1,10569.48,155743.07,2,4,29,0
29,292103.82,10039.35,3,4907.84,447035.1,1380431.11,900912.94,353390.36,28762.34,450153.85,1,0,93,3
62,424394.33,42781.52,1,2730.98,1200805.46,805006.72,276991.56,712214.55,37754.4,1717982.32,2,4,17,2
28,42229.05,19083.48,1,2321.2,664377.36,656009.47,252311.34,212782.56,37168.37,1063158.01,1,4,163,1
24,99158.69,44809.92,1,2874.56,645353.76,617206.2,344673.59,420341.47,15186.68,1038669.51,3,2,57,3
63,168490.29,7155.47,1,2894.87,175990.19,453952.59,323363.49,301474.27,21003.07,697330.78,3,2,149,1
45,204585.56,53799.56,3,43.68,350035.96,359180.23,216492.19,181853.44,27853.0,226370.31,0,2,36,0
23,337287.43,16309.53,2,1813.65,112600.93,211212.83,171610.42,161577.81,413.34,1031824.45,0,2,142,3
62,189942.07,14572.9,3,690.75,363101.74,97468.62,98671.94,13862.2,36494.23,1207066.04,3,2,109,1
67,224850.89,63336.5,2,6048.78,1151893.39,884874.66,941597.4,133071.54,13026.78,1822095.29,1,2,42,3
58,117573.89,29474.28,1,7522.91,1475007.59,1053001.48,369336.34,295704.82,46731.9,2048937.8,0,4,149,1
64,174802.46,65530.92,1,6168.37,955717.01,1776637.42,448471.58,1037916.7949999999,50727.61,499975.5,2,4,52,0
65,29928.55,15567.76,1,1228.1,323334.93,22023.91,7514.04,22627.62,6643.48,379506.95,2,4,8,1
83,358008.0,16942.5,1,4027.82,568206.05,424237.27,507799.15,67492.29,28909.49,695986.83,1,4,189,1
55,215081.7,10420.92,2,7017.87,1476984.8,144968.6,41419.6,32683.83,6734.3,2088728.06,3,4,84,0
77,92225.58,12780.3,1,3571.2,0.0,391405.92,258725.95,37946.47,37221.09,496597.9,3,2,57,1
76,16653.97,4538.43,1,2908.65,238129.23,446980.04,152458.31,112541.95,1473.66,878113.76,2,2,98,3
48,195942.17,55171.6,2,7708.61,1747294.72,921893.17,417836.47,284659.39,112205.36,195747.47,0,2,117,1
85,91420.58,42986.58,2,5813.52,375074.92,536225.46,272301.99,170084.01,45547.17,2725502.71,0,4,105,0
84,158874.14,38794.28,1,2366.28,261364.76,127418.48,101648.45,46915.77,40839.46,334072.22,0,1,86,3
25,386179.91,4791.36,1,4530.24,1067006.58,1143536.61,728847.51,343060.98,3162.62,287103.04,1,1,181,1
62,116857.26,3676.32,1,288.77,289385.84,119417.93,115300.07,91498.84,19688.07,242944.54,2,1,100,0
63,266276.84,17614.26,2,4604.18,825051.87,2217834.37,443566.87,838895.85,96596.06,786745.71,3,4,126,1
18,126351.9,47758.72,1,5420.42,815068.74,1020976.76,662548.75,275337.88,52366.87,699367.22,1,4,59,2
18,158424.74,28804.72,1,1556.18,966712.93,600275.72,240874.97,76391.78,68672.55,835554.75,1,4,113,1
78,246615.84,35332.0,3,5835.26,622181.88,765153.59,552072.84,308192.24,29778.58,1078308.29,0,4,96,1
52,122089.65,9183.68,1,3729.94,551115.81,158143.36,47128.82,39745.3,57568.27,1058450.32,3,4,39,0
27,33840.75,9465.3,3,2080.45,95921.09,383742.53,156798.02,130472.46,1098.74,61551.16,3,2,130,1
26,47530.5,16986.58,1,524.53,294164.58,806418.6,173604.0,378680.74,17498.33,751371.38,0,2,182,1
40,238307.99,31326.96,2,5725.3,109711.87,1395620.04,988564.19,116883.18,2954.52,432897.38,3,4,141,1
26,165872.64,14837.84,2,3542.77,691428.71,105060.55,119607.39,24374.05,18921.66,268739.74,1,1,67,0
85,103453.5,8983.0,1,4557.11,399276.54,942512.26,348491.93,372569.55,53789.79,135178.65,0,4,180,0
85,174099.34,28920.28,1,5063.31,518109.48,951121.85,260677.84,301822.67,3154.95,923459.51,3,1,154,3
74,137509.26,16254.0,3,332.71,775503.11,296923.22,178759.9,120496.29,36503.43,251336.68,3,1,99,1
62,168187.3,29719.97,1,4517.22,537475.12,442236.13,208601.95,200257.87,6680.0,1085889.84,0,4,181,0
27,159512.38,6399.12,1,2280.38,358797.5,385891.92,264739.81,211567.49,10801.22,683194.37,1,3,74,3
70,210198.07,53140.12,1,6941.95,359158.04,2168373.56,827623.49,438640.45,36083.69,2552969.13,3,4,134,3
75,241627.68,31251.2,2,8747.66,1763699.11,2134158.43,684234.0,1037916.7949999999,57034.26,1030468.01,1,4,129,1
60,56861.37,20159.04,3,324.05,657736.0,1206135.0,705282.33,316865.98,16297.03,1656805.0,3,4,29,2
20,120709.62,33245.03,2,1114.07,355659.35,530450.18,335727.96,198079.5,20868.95,761481.44,2,1,42,0
35,146788.5,39834.5,1,2397.24,122986.19,640602.91,367870.98,223767.04,27457.36,1002791.63,3,0,84,0
83,257268.63,32310.64,1,1211.14,617259.38,128258.48,123983.2,64642.27,25494.5,714631.8,0,4,49,3
53,33731.48,13942.08,1,1505.3,64205.78,495105.89,159534.12,214820.94,26842.1,701990.71,3,1,80,1
31,77971.46,7820.4,1,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0,4,67,1
30,62086.04,13054.4,2,1742.54,173701.43,336511.16,252383.37,37977.69,4177.87,777754.88,1,0,32,1
63,200269.34,44615.8,3,1247.38,918056.58,1244326.99,610851.43,572390.41,32793.97,899930.66,1,1,124,0
55,156243.6,27127.75,1,7995.78,1517154.5,1246515.55,820356.39,230339.03,7300.62,1198755.38,3,1,180,0
70,328810.06,27827.28,1,3220.04,94231.12,284288.86,305347.3,218902.43,29725.7,140591.25,2,4,177,1
18,73501.04,26561.82,1,1371.21,332813.43,406893.79,152585.17,179033.27,22356.77,634366.89,1,3,131,2
84,380013.5,33031.88,1,6667.08,1874873.55,2340038.03,650010.56,936015.21,100253.61,2421332.64,1,4,10,1
57,247170.24,52238.7,1,1579.5,710995.16,464391.25,421392.06,460521.33,30882.87,929161.04,2,4,19,0
58,126577.5,7851.0,1,5217.3,1203236.1,181465.92,37805.4,100940.42,56313.9,1055124.0,1,0,37,2
45,26777.4,2692.98,3,2385.14,74520.79,619039.87,121015.31,261765.43,11673.26,665923.66,3,4,79,0
36,174889.48,36223.6,1,746.2,497514.27,554546.14,459867.53,266182.15,18409.79,226629.44,3,2,140,1
79,165248.58,8481.88,1,294.8,25841.42,108209.2,97388.28,88082.29,8075.1,235244.02,1,1,155,2
26,429407.79,16539.6,2,149.95,656065.34,741521.09,370760.54,182908.54,67940.93,341071.1,0,4,171,1
26,39080.45,20456.92,2,3261.39,236826.23,118416.32,82084.04,51955.16,33963.64,167237.88,2,3,97,0
65,258591.24,13840.26,2,4778.85,59201.04,453440.06,270473.02,640543.75,6784.75,641600.7,2,1,188,2
69,137063.36,17385.55,1,2992.54,406311.36,147842.92,90817.8,73435.69,28887.95,477317.3,3,4,86,1
70,266959.84,24591.7,2,5225.56,628014.58,646178.74,576945.31,173083.59,941.98,509266.8,1,3,19,3
48,81683.44,23580.9,2,2171.31,418824.88,959454.45,644753.39,73686.1,37787.75,742030.19,1,2,34,1
57,159742.78,12922.71,1,4174.45,585321.1,358650.44,313187.71,180436.53,5116.62,1213320.81,2,2,141,1
21,192608.67,8102.16,2,2494.69,1396353.87,1571606.99,331510.85,1021790.1,45602.3,1622146.94,1,2,85,3
47,28009.1,3422.79,1,2000.51,305036.67,336806.3,242079.53,100059.54,11972.45,300771.79,0,4,97,3
29,59708.25,56647.5,2,4592.3,404115.08,2345848.66,567296.74,589221.99,46247.69,2494142.89,2,4,5,3
60,153118.31,7345.65,1,386.7,476536.81,31217.84,20811.89,21988.22,10093.4,375326.96,2,3,51,0
72,215582.05,31198.12,1,7470.4,0.0,851935.54,494426.88,218308.48,73963.14,1412228.12,3,0,113,1
69,55214.54,21708.82,1,2394.94,269257.42,260867.38,190741.74,70013.44,13420.0,216264.07,2,2,64,3
76,222608.88,12398.02,3,2320.55,527901.26,980906.31,233166.25,456684.25,21955.57,1248832.59,2,4,149,1
75,514507.79,47984.5,1,3730.42,1236855.48,1284147.66,791393.32,786017.82,12251.73,750199.63,1,4,194,3
49,92862.09,7919.9,1,719.98,22920.65,47282.74,46355.63,41720.07,1889.87,331569.91,3,3,106,1
64,208878.84,23771.1,1,2633.62,754448.26,1336149.11,687439.04,210588.72,29931.91,505515.61,1,1,48,3
39,197406.04,11507.94,2,5608.06,973262.67,1643958.52,375131.47,524301.4,12894.52,402418.28,3,1,98,3
48,129188.72,48889.95,1,7174.28,118555.03,1234872.76,475822.53,630804.73,16776.34,847056.39,1,1,0,1
65,74911.12,24005.02,2,4068.75,484151.56,657037.31,352953.92,229963.06,12241.62,1013540.67,3,3,128,3
42,74899.51,14461.16,1,1206.52,108088.12,310841.16,155420.58,85481.32,19600.28,308273.84,2,2,63,1
25,21380.4,24069.96,2,1846.22,575073.58,308369.87,235251.24,96707.33,9708.65,343847.83,0,4,193,3
